model-1718283617,1718283622.081,0.62,0.2248,0.7,0.1965
model-1718283617,1718283622.105,0.64,0.2063,0.63,0.2142
model-1718283617,1718283622.129,0.6,0.2369,0.69,0.2121
model-1718283617,1718283622.154,0.58,0.241,0.67,0.2166
model-1718283617,1718283622.178,0.62,0.2263,0.68,0.2227
model-1718283617,1718283622.204,0.65,0.2145,0.53,0.2625
model-1718283617,1718283622.228,0.63,0.2154,0.49,0.26
model-1718283617,1718283622.253,0.54,0.2546,0.55,0.2541
model-1718283617,1718283622.276,0.61,0.225,0.53,0.251
model-1718283617,1718283622.3,0.59,0.2337,0.61,0.2376
model-1718283617,1718283622.326,0.61,0.2314,0.65,0.2232
model-1718283617,1718283622.35,0.66,0.2207,0.68,0.2255
model-1718283617,1718283622.374,0.62,0.2406,0.6,0.2384
model-1718283617,1718283622.398,0.61,0.233,0.61,0.2294
model-1718283617,1718283622.422,0.51,0.2434,0.65,0.2151
model-1718283617,1718283622.45,0.65,0.2244,0.61,0.2294
model-1718283617,1718283622.473,0.65,0.2258,0.63,0.226
model-1718283617,1718283622.497,0.66,0.2208,0.67,0.2206
model-1718283617,1718283622.522,0.65,0.2245,0.71,0.2133
model-1718283617,1718283622.545,0.63,0.2271,0.72,0.2061
model-1718283617,1718283622.572,0.64,0.2264,0.62,0.2249
model-1718283617,1718283622.596,0.68,0.2043,0.64,0.2206
model-1718283617,1718283622.62,0.6,0.2344,0.63,0.2257
model-1718283617,1718283622.644,0.64,0.2251,0.63,0.2254
model-1718283617,1718283622.668,0.66,0.2034,0.68,0.201
model-1718283617,1718283622.695,0.68,0.2161,0.65,0.2177
model-1718283617,1718283622.719,0.6,0.243,0.63,0.2254
model-1718283617,1718283622.743,0.63,0.216,0.66,0.2189
model-1718283617,1718283622.766,0.73,0.1784,0.6,0.2411
model-1718283617,1718283622.791,0.64,0.2083,0.69,0.2003
model-1718283617,1718283622.818,0.61,0.2163,0.73,0.1936
model-1718283617,1718283622.842,0.64,0.2127,0.66,0.2186
model-1718283617,1718283622.866,0.64,0.2133,0.63,0.2396
model-1718283617,1718283622.89,0.54,0.2511,0.68,0.1932
model-1718283617,1718283622.914,0.67,0.2025,0.69,0.1955
model-1718283617,1718283622.94,0.6,0.2438,0.64,0.2191
model-1718283617,1718283622.964,0.64,0.2264,0.7,0.2271
model-1718283617,1718283622.988,0.64,0.2145,0.73,0.1888
model-1718283617,1718283623.013,0.6,0.2275,0.65,0.2138
